Day,Time,Room,Course Code,Course Title,Faculty,Session Type,Branch,Semester,Info
Monday,09:00-10:00,C102,HS205,Ethics,Dr. Jolly Thomas,Lecture,CSE B,4.0,
Monday,10:00-11:00,C202,CS206,Theory of Computation,Dr. Pavan / Dr. Sunil C K,Lecture,CSE B,4.0,
Monday,11:30-12:30,C203,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Lecture,CSE B,4.0,
Monday,14:30-15:30,C202,MA202,Linear Algebra,Dr. Anand Barangi,Lecture,CSE B,4.0,
Monday,17:00-18:00,C202,CS310,Database Management Systems,Dr. Pramod Yelmewad / Dr. Abdul Wahid,Lecture,CSE B,4.0,
Monday,18:00-19:00,C104,CS310,Database Management Systems,Dr. Pramod Yelmewad / Dr. Abdul Wahid,Lecture,CSE B,4.0,
Tuesday,10:00-11:00,C202,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Lecture,CSE B,4.0,
Tuesday,11:30-12:30,C204,CS206,Theory of Computation,Dr. Pavan / Dr. Sunil C K,Tutorial,CSE B,4.0,
Tuesday,14:30-15:30,C203,CS204,Operating System,Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha,Lecture,CSE B,4.0,
Tuesday,15:30-16:30,C206,CS310,Database Management Systems,Dr. Pramod Yelmewad / Dr. Abdul Wahid,Lecture,CSE B,4.0,
Tuesday,18:00-19:00,C304,HS205,Ethics,Dr. Jolly Thomas,Lecture,CSE B,4.0,
Wednesday,08:00-09:00,C304,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Tutorial,CSE B,4.0,
Wednesday,11:30-12:30,C203,CS206,Theory of Computation,Dr. Pavan / Dr. Sunil C K,Lecture,CSE B,4.0,
Wednesday,14:30-15:30,C203,CS204,Operating System,Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha,Lecture,CSE B,4.0,
Wednesday,17:00-18:00,C202,MA202,Linear Algebra,Dr. Anand Barangi,Lecture,CSE B,4.0,
Thursday,09:00-10:00,C206,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Lecture,CSE B,4.0,
Thursday,14:30-15:30,C102,HS205,Ethics,Dr. Jolly Thomas,Lecture,CSE B,4.0,
Thursday,17:00-18:00,C202,MA202,Linear Algebra,Dr. Anand Barangi,Tutorial,CSE B,4.0,
Friday,08:00-09:00,C204,CS206,Theory of Computation,Dr. Pavan / Dr. Sunil C K,Lecture,CSE B,4.0,
Friday,09:00-10:00,C104,CS310,Database Management Systems,Dr. Pramod Yelmewad / Dr. Abdul Wahid,Tutorial,CSE B,4.0,
Friday,14:30-15:30,C204,CS204,Operating System,Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha,Lecture,CSE B,4.0,
Friday,18:00-19:00,C302,MA202,Linear Algebra,Dr. Anand Barangi,Lecture,CSE B,4.0,
