Day,Time,Room,Course Code,Course Title,Faculty,Session Type,Branch,Semester,Info
Monday,10:00-11:00,C203,CS310,Database Management System,Dr. Shirshendu Layek / Dr. Utkarsh Khaire,Lecture,DSAI,4.0,
Monday,11:30-12:30,C204,DS204,Software Engineering and Services,Dr. Animesh Chaturvedi,Lecture,DSAI,4.0,
Monday,14:30-15:30,C203,MA202,Linear Algebra,Dr. Chinmayanand,Lecture,DSAI,4.0,
Monday,17:00-18:00,C203,DS205,Global Business Perspectives,Mr. Manmohan Singh ( Course Coordinator: Dr. Rajendra Hegadi),Lecture,DSAI,4.0,
Monday,18:00-19:00,C206,HS206,Industrial Social Psychology,Dr. Navyashree,Lecture,DSAI,4.0,
Tuesday,10:00-11:00,C203,CS310,Database Management System,Dr. Shirshendu Layek / Dr. Utkarsh Khaire,Tutorial,DSAI,4.0,
Tuesday,11:30-12:30,C206,CS310,Database Management System,Dr. Shirshendu Layek / Dr. Utkarsh Khaire,Lecture,DSAI,4.0,
Tuesday,14:30-15:30,C104,CS204,Operating Systems,Dr. Manjunath K V,Lecture,DSAI,4.0,
Tuesday,15:30-16:30,C303,DS204,Software Engineering and Services,Dr. Animesh Chaturvedi,Lecture,DSAI,4.0,
Wednesday,08:00-09:00,C305,HS206,Industrial Social Psychology,Dr. Navyashree,Lecture,DSAI,4.0,
Wednesday,09:00-10:00,C104,MA202,Linear Algebra,Dr. Chinmayanand,Lecture,DSAI,4.0,
Wednesday,11:30-12:30,C104,CS204,Operating Systems,Dr. Manjunath K V,Tutorial,DSAI,4.0,
Wednesday,14:30-15:30,C104,CS204,Operating Systems,Dr. Manjunath K V,Lecture,DSAI,4.0,
Wednesday,17:00-18:00,C101,DS205,Global Business Perspectives,Mr. Manmohan Singh ( Course Coordinator: Dr. Rajendra Hegadi),Lecture,DSAI,4.0,
Thursday,09:00-10:00,C302,DS204,Software Engineering and Services,Dr. Animesh Chaturvedi,Lecture,DSAI,4.0,
Thursday,17:00-18:00,C203,MA202,Linear Algebra,Dr. Chinmayanand,Lecture,DSAI,4.0,
Friday,08:00-09:00,C206,CS310,Database Management System,Dr. Shirshendu Layek / Dr. Utkarsh Khaire,Lecture,DSAI,4.0,
Friday,09:00-10:00,C202,DS205,Global Business Perspectives,Mr. Manmohan Singh ( Course Coordinator: Dr. Rajendra Hegadi),Lecture,DSAI,4.0,
Friday,14:30-15:30,C202,CS204,Operating Systems,Dr. Manjunath K V,Lecture,DSAI,4.0,
Friday,15:30-16:30,C102,MA202,Linear Algebra,Dr. Chinmayanand,Tutorial,DSAI,4.0,
Friday,18:00-19:00,C202,HS206,Industrial Social Psychology,Dr. Navyashree,Lecture,DSAI,4.0,
