,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,Ethics-Lecture-C102,Theory of Computation-Lecture-C202,,Software Engineering-Lecture-C203,,,Linear Algebra-Lecture-C202,,,Database Management Systems-Lecture-C202,Database Management Systems-Lecture-C104
Tuesday,,,Software Engineering-Lecture-C202,,Theory of Computation-Tutorial-C204,,,Operating System-Lecture-C203,Database Management Systems-Lecture-C206,,,Ethics-Lecture-C304
Wednesday,Software Engineering-Tutorial-C304,,,,Theory of Computation-Lecture-C203,,,Operating System-Lecture-C203,,,Linear Algebra-Lecture-C202,
Thursday,,Software Engineering-Lecture-C206,,,,,,Ethics-Lecture-C102,,,Linear Algebra-Tutorial-C202,
Friday,Theory of Computation-Lecture-C204,Database Management Systems-Tutorial-C104,,,,,,Operating System-Lecture-C204,,,,Linear Algebra-Lecture-C302
