,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,Mathematical foundations of Computing-Lecture-C101,,Economics/ Innovation and Entrepreneurship-Lecture-C206,,,,,,Economics/ Innovation and Entrepreneurship-Tutorial-C302,Linear Algebra-Lecture-C302
Tuesday,,,Economics/ Innovation and Entrepreneurship-Lecture-C302,,Mathematical foundations of Computing-Lecture-C104,,,Data Structures & Algorithms-Lecture-C101,,,,
Wednesday,,,,,Data Structures & Algorithms-Lecture-C101,,,Data Structures & Algorithms-Lecture-C101,,,,
Thursday,,Linear Algebra-Lecture-C303,,,,,,,,,,
Friday,Mathematical foundations of Computing-Lecture-C104,Linear Algebra-Lecture-C204,,,,,,,,,,Linear Algebra-Tutorial-C203
