,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,Ethics-Lecture-C101,Theory of Computation-Lecture-C104,,Software Engineering-Lecture-C202,,,Linear Algebra-Lecture-C104,,,Database Management Systems-Lecture-C104,Database Management Systems-Lecture-C102
Tuesday,,,Software Engineering-Lecture-C104,,Theory of Computation-Tutorial-C203,,,Operating System-Lecture-C202,Database Management Systems-Lecture-C204,,,Ethics-Lecture-C303
Wednesday,Software Engineering-Tutorial-C303,,,,Theory of Computation-Lecture-C202,,,Operating System-Lecture-C202,,,Linear Algebra-Lecture-C104,
Thursday,,Software Engineering-Lecture-C204,,,,,,Ethics-Lecture-C101,,,Linear Algebra-Tutorial-C104,
Friday,Theory of Computation-Lecture-C203,Database Management Systems-Tutorial-C102,,,,,,Operating System-Lecture-C203,,,,Linear Algebra-Lecture-C206
