,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,Database Management System-Lecture-C203,,Software Engineering and Services-Lecture-C204,,,Linear Algebra-Lecture-C203,,,Global Business Perspectives-Lecture-C203,Industrial Social Psychology-Lecture-C206
Tuesday,,,Database Management System-Tutorial-C203,,Database Management System-Lecture-C206,,,Operating Systems-Lecture-C104,Software Engineering and Services-Lecture-C303,,,
Wednesday,Industrial Social Psychology-Lecture-C305,Linear Algebra-Lecture-C104,,,Operating Systems-Tutorial-C104,,,Operating Systems-Lecture-C104,,,Global Business Perspectives-Lecture-C101,
Thursday,,Software Engineering and Services-Lecture-C302,,,,,,,,,Linear Algebra-Lecture-C203,
Friday,Database Management System-Lecture-C206,Global Business Perspectives-Lecture-C202,,,,,,Operating Systems-Lecture-C202,Linear Algebra-Tutorial-C102,,,Industrial Social Psychology-Lecture-C202
