,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,,,,,,,Data Science with Python-Lecture-C104 | Industry Insights Program Part 1-Lecture-C003 | Introduction to Digital VLSI Design-Lecture-C101 | Introduction to Holistic Personality Development-Lecture-C102 | Linux for Engineers-Lecture-C004 | Photography101-Lecture-C002,,,
Tuesday,,,,,,,,,,,,Data Science with Python-Lecture-C302 | Industry Insights Program Part 1-Lecture-C202 | Introduction to Digital VLSI Design-Lecture-C204 | Introduction to Holistic Personality Development-Lecture-C206 | Linux for Engineers-Lecture-C203
Wednesday,Data Science with Python-Lecture-C302 | Industry Insights Program Part 1-Lecture-C202 | Introduction to Digital VLSI Design-Lecture-C204 | Introduction to Holistic Personality Development-Lecture-C206 | Linux for Engineers-Lecture-C203,,,,,,,,,,,
Thursday,,,,,,,,,,,,Data Science with Python-Lecture-C104 | Industry Insights Program Part 1-Lecture-C003 | Introduction to Digital VLSI Design-Lecture-C101 | Introduction to Holistic Personality Development-Lecture-C102 | Linux for Engineers-Lecture-C004 | Photography101-Lecture-C002
Friday,,,,,,,,Data Science with Python-Tutorial-C104 | Industry Insights Program Part 1-Tutorial-C003 | Introduction to Digital VLSI Design-Tutorial-C101 | Introduction to Holistic Personality Development-Tutorial-C102 | Linux for Engineers-Tutorial-C004 | Photography101-Tutorial-C002,,,,
