,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,Ethics-Lecture-C101 | Ethics-Lecture-C102,Analog and Digital Communication-Lecture-C206,,Software Engineering-Lecture-C202 | Software Engineering-Lecture-C203,,,Embedded Systems Design-Lecture-C102,Economics-Lecture-C303,,Global Business Perspectives-Lecture-C203,Control Systems-Lecture-C204
Tuesday,,,Software Engineering-Lecture-C104 | Software Engineering-Lecture-C202,,Analog and Digital Communication-Tutorial-C303,,,Operating System-Lecture-C202 | Operating System-Lecture-C203,Control Systems-Lecture-C305,,,Ethics-Lecture-C303 | Ethics-Lecture-C304
Wednesday,Software Engineering-Tutorial-C303 | Software Engineering-Tutorial-C304,Embedded Systems Design-Lecture-C102,,,Analog and Digital Communication-Lecture-C206,,,Operating System-Lecture-C202 | Operating System-Lecture-C203,,,Global Business Perspectives-Lecture-C101,
Thursday,Economics-Lecture-C101,Software Engineering-Lecture-C204 | Software Engineering-Lecture-C206,Economics-Tutorial-C204,,,,,Ethics-Lecture-C101 | Ethics-Lecture-C102,,,Embedded Systems Design-Lecture-C102,
Friday,Analog and Digital Communication-Lecture-C303,Global Business Perspectives-Lecture-C202,,,,,,Operating System-Lecture-C203 | Operating System-Lecture-C204,Embedded Systems Design-Tutorial-C101,,Economics-Lecture-C101,Control Systems-Lecture-C102
