,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,Operating System-Practical-L105,,,,,,,,Operating System-Practical-L105,,,
Tuesday,,,,,,,,,,,,
Wednesday,,,,,,,,,,,,
Thursday,,,,,,,,Operating System-Practical-L105,Operating System-Practical-L105,,,
Friday,,,,,,,,,,,,
