,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,Mathematical foundations of Computing-Lecture-C102,,Economics/ Innovation and Entrepreneurship-Lecture-C302,,,,,,Economics/ Innovation and Entrepreneurship-Tutorial-C303,Linear Algebra-Lecture-C303
Tuesday,,,Economics/ Innovation and Entrepreneurship-Lecture-C303,,Mathematical foundations of Computing-Lecture-C202,,,Data Structures & Algorithms-Lecture-C102,,,,
Wednesday,,,,,Data Structures & Algorithms-Lecture-C102,,,Data Structures & Algorithms-Lecture-C102,,,,
Thursday,,Linear Algebra-Lecture-C304,,,,,,,,,,
Friday,Mathematical foundations of Computing-Lecture-C202,Linear Algebra-Lecture-C206,,,,,,,,,,Linear Algebra-Tutorial-C204
