,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,Optimization-Lecture-C004,,Data Structures and Algorithms-Lecture-C102,,,English Language and Communication-Lecture-C004,Data Science with Python-Lecture-C104 | Industry Insights Program Part 1-Lecture-C003 | Introduction to Digital VLSI Design-Lecture-C101 | Introduction to Holistic Personality Development-Lecture-C102 | Linux for Engineers-Lecture-C004 | Photography101-Lecture-C002,,Computer Architecture-Lecture-C102,Network Analysis-Lecture-C203
Tuesday,,,Computer Architecture-Lecture-C101,,Data Structures and Algorithms-Lecture-C101,,,Optimization-Lecture-C004,Network Analysis-Lecture-C304,,,Data Science with Python-Lecture-C302 | Industry Insights Program Part 1-Lecture-C202 | Introduction to Digital VLSI Design-Lecture-C204 | Introduction to Holistic Personality Development-Lecture-C206 | Linux for Engineers-Lecture-C203
Wednesday,Data Science with Python-Lecture-C302 | Industry Insights Program Part 1-Lecture-C202 | Introduction to Digital VLSI Design-Lecture-C204 | Introduction to Holistic Personality Development-Lecture-C206 | Linux for Engineers-Lecture-C203,,,,Optimization-Tutorial-C004,,,Optimization-Lecture-C004,,,English Language and Communication-Lecture-C004,
Thursday,,Computer Architecture-Lecture-C202,,,,,,,,,,Data Science with Python-Lecture-C104 | Industry Insights Program Part 1-Lecture-C003 | Introduction to Digital VLSI Design-Lecture-C101 | Introduction to Holistic Personality Development-Lecture-C102 | Linux for Engineers-Lecture-C004 | Photography101-Lecture-C002
Friday,Data Structures and Algorithms-Lecture-C101,Network Analysis-Tutorial-C203,,,,,,Data Science with Python-Tutorial-C104 | Industry Insights Program Part 1-Tutorial-C003 | Introduction to Digital VLSI Design-Tutorial-C101 | Introduction to Holistic Personality Development-Tutorial-C102 | Linux for Engineers-Tutorial-C004 | Photography101-Tutorial-C002,,,,English Language and Communication-Lecture-C004
