,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,,,Economics/ Innovation and Entrepreneurship-Lecture-Dr. Anushree Kini / Dr.deepak K T-CSE B-2.0,,,,Bioinformatics-Tutorial-Dr. Sunil Kumar Pv-DSAI-6.0 | Bioinformatics-Tutorial-Dr. Sunil Kumar Pv-ECE-6.0 | Bioinformatics-Tutorial-Dr. Sunil Kumar Pv-CSE-6.0,,Economics/ Innovation and Entrepreneurship-Tutorial-Dr. Anushree Kini / Dr.deepak K T-CSE A-2.0,Linear Algebra-Lecture-Dr. Sibasankar Padhy / Dr. Somen Bhattacharjee-CSE A-2.0
Tuesday,,,Economics/ Innovation and Entrepreneurship-Lecture-Dr. Anushree Kini / Dr.deepak K T-CSE A-2.0,,Innovation and Entrepreneurship-Tutorial-Mr. Ram Subramanian ( Course Coordinator: Dr. Manjunath Kv)-DSAI-6.0 | Innovation and Entrepreneurship-Tutorial-Mr. Ram Subramanian ( Course Coordinator: Dr. Manjunath Kv)-ECE-6.0,,,,Data Curation Techniques-Lecture-Dr. Siddharth R-DSAI-2.0,,,Data Science with Python-Lecture-Dr. Abdul Wahid-DSAI-2.0 | Data Science with Python-Lecture-Dr. Abdul Wahid-ECE-2.0 | Data Science with Python-Lecture-Dr. Abdul Wahid-CSE-2.0
Wednesday,Data Science with Python-Lecture-Dr. Abdul Wahid-DSAI-2.0 | Data Science with Python-Lecture-Dr. Abdul Wahid-ECE-2.0 | Data Science with Python-Lecture-Dr. Abdul Wahid-CSE-2.0,,,,,,,,,,,
Thursday,,Software Engineering and Services-Lecture-Dr. Animesh Chaturvedi-DSAI-4.0,,,,,,,,,,
Friday,Innovation and Entrepreneurship-Lecture-Mr. Ram Subramanian ( Course Coordinator: Dr. Manjunath Kv)-DSAI-6.0 | Innovation and Entrepreneurship-Lecture-Mr. Ram Subramanian ( Course Coordinator: Dr. Manjunath Kv)-ECE-6.0,,,,,,,,,,,Linear Algebra-Lecture-Dr. Anand Barangi-CSE B-4.0
