,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,Analog and Digital Communication-Lecture-Dr. Somen Bhattacharjee / Dr. Jagadish D N (lab)-ECE-4.0,,Economics/ Innovation and Entrepreneurship-Lecture-Dr. Anushree Kini / Dr.deepak K T-CSE A-2.0,,,,Automotive Embedded and Multimedia Systems-Tutorial-Mr. Jagadeesh K / Dr. Sibasankar Padhy-DSAI-6.0 | Automotive Embedded and Multimedia Systems-Tutorial-Mr. Jagadeesh K / Dr. Sibasankar Padhy-ECE-6.0 | Automotive Embedded and Multimedia Systems-Tutorial-Mr. Jagadeesh K / Dr. Sibasankar Padhy-CSE-6.0,,Wireless Communication-Lecture-Dr. Rajib Sharma / Dr. Rao (lab)-ECE-6.0,Industrial Social Psychology-Lecture-Dr. Navyashree-DSAI-4.0
Tuesday,,,Wireless Communication-Lecture-Dr. Rajib Sharma / Dr. Rao (lab)-ECE-6.0,,Database Management System-Lecture-Dr. Shirshendu Layek / Dr. Utkarsh Khaire-DSAI-4.0,,,,Database Management Systems-Lecture-Dr. Pramod Yelmewad / Dr. Abdul Wahid-CSE B-4.0,,,Introduction to Holistic Personality Development-Lecture-Prof. Chachadi / Dr. Chandrika K-DSAI-2.0 | Introduction to Holistic Personality Development-Lecture-Prof. Chachadi / Dr. Chandrika K-ECE-2.0 | Introduction to Holistic Personality Development-Lecture-Prof. Chachadi / Dr. Chandrika K-CSE-2.0
Wednesday,Introduction to Holistic Personality Development-Lecture-Prof. Chachadi / Dr. Chandrika K-DSAI-2.0 | Introduction to Holistic Personality Development-Lecture-Prof. Chachadi / Dr. Chandrika K-ECE-2.0 | Introduction to Holistic Personality Development-Lecture-Prof. Chachadi / Dr. Chandrika K-CSE-2.0,,,,Analog and Digital Communication-Lecture-Dr. Somen Bhattacharjee / Dr. Jagadish D N (lab)-ECE-4.0,,,,,,,
Thursday,,Software Engineering-Lecture-Dr. Vivekraj V K / Dr. Sunil Kumar P V-ECE-4.0 | Software Engineering-Lecture-Dr. Vivekraj V K / Dr. Sunil Kumar P V-CSE B-4.0,,,,,,,,,,
Friday,Database Management System-Lecture-Dr. Shirshendu Layek / Dr. Utkarsh Khaire-DSAI-4.0,Linear Algebra-Lecture-Dr. Sibasankar Padhy / Dr. Somen Bhattacharjee-CSE B-2.0,,,,,,Financial Data Analytics-Lecture-Dr. Utkarsh Khaire-DSAI-6.0 | Financial Data Analytics-Lecture-Dr. Utkarsh Khaire-ECE-6.0,,,,Linear Algebra-Lecture-Dr. Anand Barangi-CSE A-4.0
