,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,Theory of Computation-Lecture-Dr. Pavan / Dr. Sunil C K-CSE A-4.0,,Computer Architecture-Lecture-Dr. Manjunath K V-DSAI-2.0,,,Linear Algebra-Lecture-Dr. Anand Barangi-CSE A-4.0,Data Science with Python-Lecture-Dr. Abdul Wahid-DSAI-2.0 | Data Science with Python-Lecture-Dr. Abdul Wahid-ECE-2.0 | Data Science with Python-Lecture-Dr. Abdul Wahid-CSE-2.0,,Database Management Systems-Lecture-Dr. Pramod Yelmewad / Dr. Abdul Wahid-CSE A-4.0,Database Management Systems-Lecture-Dr. Pramod Yelmewad / Dr. Abdul Wahid-CSE B-4.0
Tuesday,Statistics for Health Technology-Lecture-Dr. Ramesh Athe-DSAI-6.0 | Statistics for Health Technology-Lecture-Dr. Ramesh Athe-ECE-6.0 | Statistics for Health Technology-Lecture-Dr. Ramesh Athe-CSE-6.0,,Software Engineering-Lecture-Dr. Vivekraj V K / Dr. Sunil Kumar P V-ECE-4.0 | Software Engineering-Lecture-Dr. Vivekraj V K / Dr. Sunil Kumar P V-CSE A-4.0,,Mathematical foundations of Computing-Lecture-Dr. Animesh Roy-CSE A-2.0,,,Operating Systems-Lecture-Dr. Manjunath K V-DSAI-4.0,Statistics for Health Technology-Lecture-Dr. Ramesh Athe-DSAI-6.0 | Statistics for Health Technology-Lecture-Dr. Ramesh Athe-ECE-6.0 | Statistics for Health Technology-Lecture-Dr. Ramesh Athe-CSE-6.0,,,Model Checking-Tutorial-Dr. Pavan-DSAI-6.0 | Model Checking-Tutorial-Dr. Pavan-ECE-6.0 | Model Checking-Tutorial-Dr. Pavan-CSE-6.0
Wednesday,Model Checking-Lecture-Dr. Pavan-DSAI-6.0 | Model Checking-Lecture-Dr. Pavan-ECE-6.0 | Model Checking-Lecture-Dr. Pavan-CSE-6.0,Linear Algebra-Lecture-Dr. Chinmayanand-DSAI-4.0,,,Operating Systems-Tutorial-Dr. Manjunath K V-DSAI-4.0,,,Operating Systems-Lecture-Dr. Manjunath K V-DSAI-4.0,,,Linear Algebra-Lecture-Dr. Anand Barangi-CSE A-4.0,
Thursday,,Model Checking-Lecture-Dr. Pavan-DSAI-6.0 | Model Checking-Lecture-Dr. Pavan-ECE-6.0 | Model Checking-Lecture-Dr. Pavan-CSE-6.0,Statistics for Health Technology-Tutorial-Dr. Ramesh Athe-DSAI-6.0 | Statistics for Health Technology-Tutorial-Dr. Ramesh Athe-ECE-6.0 | Statistics for Health Technology-Tutorial-Dr. Ramesh Athe-CSE-6.0,,,,,,,,Linear Algebra-Tutorial-Dr. Anand Barangi-CSE A-4.0,Data Science with Python-Lecture-Dr. Abdul Wahid-DSAI-2.0 | Data Science with Python-Lecture-Dr. Abdul Wahid-ECE-2.0 | Data Science with Python-Lecture-Dr. Abdul Wahid-CSE-2.0
Friday,Mathematical foundations of Computing-Lecture-Dr. Animesh Roy-CSE A-2.0,Database Management Systems-Tutorial-Dr. Pramod Yelmewad / Dr. Abdul Wahid-CSE B-4.0,,,,,,Data Science with Python-Tutorial-Dr. Abdul Wahid-DSAI-2.0 | Data Science with Python-Tutorial-Dr. Abdul Wahid-ECE-2.0 | Data Science with Python-Tutorial-Dr. Abdul Wahid-CSE-2.0,,,,Wireless Communication-Lecture-Dr. Rajib Sharma / Dr. Rao (lab)-ECE-6.0
