,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,,,Deep Speech Processing-Lecture-Prof. Srm Prasanna-DSAI-6.0 | Deep Speech Processing-Lecture-Prof. Srm Prasanna-ECE-6.0 | Deep Speech Processing-Lecture-Prof. Srm Prasanna-CSE-6.0,,,,Industry Insights Program Part 1-Lecture-Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan-DSAI-2.0 | Industry Insights Program Part 1-Lecture-Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan-ECE-2.0 | Industry Insights Program Part 1-Lecture-Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan-CSE-2.0,,,Deep Speech Processing-Tutorial-Prof. Srm Prasanna-DSAI-6.0 | Deep Speech Processing-Tutorial-Prof. Srm Prasanna-ECE-6.0 | Deep Speech Processing-Tutorial-Prof. Srm Prasanna-CSE-6.0
Tuesday,Medical Image Analysis-Lecture-Dr. Girish G N-DSAI-6.0 | Medical Image Analysis-Lecture-Dr. Girish G N-ECE-6.0 | Medical Image Analysis-Lecture-Dr. Girish G N-CSE-6.0,,,,,,,,Medical Image Analysis-Lecture-Dr. Girish G N-DSAI-6.0 | Medical Image Analysis-Lecture-Dr. Girish G N-ECE-6.0 | Medical Image Analysis-Lecture-Dr. Girish G N-CSE-6.0,,,Quantum Communication-Tutorial-Dr. Aswath B-DSAI-6.0 | Quantum Communication-Tutorial-Dr. Aswath B-ECE-6.0 | Quantum Communication-Tutorial-Dr. Aswath B-CSE-6.0
Wednesday,Quantum Communication-Lecture-Dr. Aswath B-DSAI-6.0 | Quantum Communication-Lecture-Dr. Aswath B-ECE-6.0 | Quantum Communication-Lecture-Dr. Aswath B-CSE-6.0,,,,,,,,,,,
Thursday,,Quantum Communication-Lecture-Dr. Aswath B-DSAI-6.0 | Quantum Communication-Lecture-Dr. Aswath B-ECE-6.0 | Quantum Communication-Lecture-Dr. Aswath B-CSE-6.0,Medical Image Analysis-Tutorial-Dr. Girish G N-DSAI-6.0 | Medical Image Analysis-Tutorial-Dr. Girish G N-ECE-6.0 | Medical Image Analysis-Tutorial-Dr. Girish G N-CSE-6.0,,,,,,,,,Industry Insights Program Part 1-Lecture-Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan-DSAI-2.0 | Industry Insights Program Part 1-Lecture-Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan-ECE-2.0 | Industry Insights Program Part 1-Lecture-Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan-CSE-2.0
Friday,,Deep Speech Processing-Lecture-Prof. Srm Prasanna-DSAI-6.0 | Deep Speech Processing-Lecture-Prof. Srm Prasanna-ECE-6.0 | Deep Speech Processing-Lecture-Prof. Srm Prasanna-CSE-6.0,,,,,,Industry Insights Program Part 1-Tutorial-Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan-DSAI-2.0 | Industry Insights Program Part 1-Tutorial-Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan-ECE-2.0 | Industry Insights Program Part 1-Tutorial-Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan-CSE-2.0,,,,
