,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,Optimization-Lecture-Dr. Dibyajyoti Guha-DSAI-2.0 | Optimization-Lecture-Dr. Dibyajyoti Guha-ECE-2.0,,Natural Language Processing-Lecture-Dr. Krishnendu-DSAI-6.0 | Natural Language Processing-Lecture-Dr. Krishnendu-ECE-6.0 | Natural Language Processing-Lecture-Dr. Krishnendu-CSE-6.0,,,English Language and Communication-Lecture-Dr. Rajesh N S-DSAI-2.0 | English Language and Communication-Lecture-Dr. Rajesh N S-ECE-2.0,Linux for Engineers-Lecture-Dr. Shirshendu Layek-DSAI-2.0 | Linux for Engineers-Lecture-Dr. Shirshendu Layek-ECE-2.0 | Linux for Engineers-Lecture-Dr. Shirshendu Layek-CSE-2.0,,,Natural Language Processing-Tutorial-Dr. Krishnendu-DSAI-6.0 | Natural Language Processing-Tutorial-Dr. Krishnendu-ECE-6.0 | Natural Language Processing-Tutorial-Dr. Krishnendu-CSE-6.0
Tuesday,Machine learning-Lecture-Dr. Deepak K T / Dr. Girish G N / Dr. Krishnendu Ghosh-DSAI-6.0 | Machine learning-Lecture-Dr. Deepak K T / Dr. Girish G N / Dr. Krishnendu Ghosh-ECE-6.0 | Machine learning-Lecture-Dr. Deepak K T / Dr. Girish G N / Dr. Krishnendu Ghosh-CSE-6.0,,,,,,,Optimization-Lecture-Dr. Dibyajyoti Guha-DSAI-2.0 | Optimization-Lecture-Dr. Dibyajyoti Guha-ECE-2.0,Machine learning-Lecture-Dr. Deepak K T / Dr. Girish G N / Dr. Krishnendu Ghosh-DSAI-6.0 | Machine learning-Lecture-Dr. Deepak K T / Dr. Girish G N / Dr. Krishnendu Ghosh-ECE-6.0 | Machine learning-Lecture-Dr. Deepak K T / Dr. Girish G N / Dr. Krishnendu Ghosh-CSE-6.0,,,Quantum HPC and AI-Tutorial-Dr. Manish M (Dr. Aswath)-DSAI-6.0 | Quantum HPC and AI-Tutorial-Dr. Manish M (Dr. Aswath)-ECE-6.0 | Quantum HPC and AI-Tutorial-Dr. Manish M (Dr. Aswath)-CSE-6.0
Wednesday,Quantum HPC and AI-Lecture-Dr. Manish M (Dr. Aswath)-DSAI-6.0 | Quantum HPC and AI-Lecture-Dr. Manish M (Dr. Aswath)-ECE-6.0 | Quantum HPC and AI-Lecture-Dr. Manish M (Dr. Aswath)-CSE-6.0,,,,Optimization-Tutorial-Dr. Dibyajyoti Guha-DSAI-2.0 | Optimization-Tutorial-Dr. Dibyajyoti Guha-ECE-2.0,,,Optimization-Lecture-Dr. Dibyajyoti Guha-DSAI-2.0 | Optimization-Lecture-Dr. Dibyajyoti Guha-ECE-2.0,,,English Language and Communication-Lecture-Dr. Rajesh N S-DSAI-2.0 | English Language and Communication-Lecture-Dr. Rajesh N S-ECE-2.0,
Thursday,,Quantum HPC and AI-Lecture-Dr. Manish M (Dr. Aswath)-DSAI-6.0 | Quantum HPC and AI-Lecture-Dr. Manish M (Dr. Aswath)-ECE-6.0 | Quantum HPC and AI-Lecture-Dr. Manish M (Dr. Aswath)-CSE-6.0,Machine learning-Tutorial-Dr. Deepak K T / Dr. Girish G N / Dr. Krishnendu Ghosh-DSAI-6.0 | Machine learning-Tutorial-Dr. Deepak K T / Dr. Girish G N / Dr. Krishnendu Ghosh-ECE-6.0 | Machine learning-Tutorial-Dr. Deepak K T / Dr. Girish G N / Dr. Krishnendu Ghosh-CSE-6.0,,,,,,,,,Linux for Engineers-Lecture-Dr. Shirshendu Layek-DSAI-2.0 | Linux for Engineers-Lecture-Dr. Shirshendu Layek-ECE-2.0 | Linux for Engineers-Lecture-Dr. Shirshendu Layek-CSE-2.0
Friday,,Natural Language Processing-Lecture-Dr. Krishnendu-DSAI-6.0 | Natural Language Processing-Lecture-Dr. Krishnendu-ECE-6.0 | Natural Language Processing-Lecture-Dr. Krishnendu-CSE-6.0,,,,,,Linux for Engineers-Tutorial-Dr. Shirshendu Layek-DSAI-2.0 | Linux for Engineers-Tutorial-Dr. Shirshendu Layek-ECE-2.0 | Linux for Engineers-Tutorial-Dr. Shirshendu Layek-CSE-2.0,,,,English Language and Communication-Lecture-Dr. Rajesh N S-DSAI-2.0 | English Language and Communication-Lecture-Dr. Rajesh N S-ECE-2.0
