,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,Theory of Computation-Lecture-Dr. Pavan / Dr. Sunil C K-CSE B-4.0,,Software Engineering-Lecture-Dr. Vivekraj V K / Dr. Sunil Kumar P V-ECE-4.0 | Software Engineering-Lecture-Dr. Vivekraj V K / Dr. Sunil Kumar P V-CSE A-4.0,,,Linear Algebra-Lecture-Dr. Anand Barangi-CSE B-4.0,Computer Graphics-Tutorial-Dr. Vivekraj V K-DSAI-6.0 | Computer Graphics-Tutorial-Dr. Vivekraj V K-ECE-6.0 | Computer Graphics-Tutorial-Dr. Vivekraj V K-CSE-6.0,,Database Management Systems-Lecture-Dr. Pramod Yelmewad / Dr. Abdul Wahid-CSE B-4.0,Data Curation Techniques-Lecture-Dr. Siddharth R-DSAI-2.0
Tuesday,Automotive Embedded and Multimedia Systems-Lecture-Mr. Jagadeesh K / Dr. Sibasankar Padhy-DSAI-6.0 | Automotive Embedded and Multimedia Systems-Lecture-Mr. Jagadeesh K / Dr. Sibasankar Padhy-ECE-6.0 | Automotive Embedded and Multimedia Systems-Lecture-Mr. Jagadeesh K / Dr. Sibasankar Padhy-CSE-6.0,,Software Engineering-Lecture-Dr. Vivekraj V K / Dr. Sunil Kumar P V-ECE-4.0 | Software Engineering-Lecture-Dr. Vivekraj V K / Dr. Sunil Kumar P V-CSE B-4.0,,Mathematical foundations of Computing-Lecture-Dr. Animesh Roy-CSE B-2.0,,,Operating System-Lecture-Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha-ECE-4.0 | Operating System-Lecture-Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha-CSE A-4.0,Automotive Embedded and Multimedia Systems-Lecture-Mr. Jagadeesh K / Dr. Sibasankar Padhy-DSAI-6.0 | Automotive Embedded and Multimedia Systems-Lecture-Mr. Jagadeesh K / Dr. Sibasankar Padhy-ECE-6.0 | Automotive Embedded and Multimedia Systems-Lecture-Mr. Jagadeesh K / Dr. Sibasankar Padhy-CSE-6.0,,,Industry Insights Program Part 1-Lecture-Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan-DSAI-2.0 | Industry Insights Program Part 1-Lecture-Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan-ECE-2.0 | Industry Insights Program Part 1-Lecture-Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan-CSE-2.0
Wednesday,Industry Insights Program Part 1-Lecture-Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan-DSAI-2.0 | Industry Insights Program Part 1-Lecture-Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan-ECE-2.0 | Industry Insights Program Part 1-Lecture-Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan-CSE-2.0,,,,Theory of Computation-Lecture-Dr. Pavan / Dr. Sunil C K-CSE A-4.0,,,Operating System-Lecture-Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha-ECE-4.0 | Operating System-Lecture-Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha-CSE A-4.0,,,Linear Algebra-Lecture-Dr. Anand Barangi-CSE B-4.0,
Thursday,,Computer Architecture-Lecture-Dr. Jagadish D N-ECE-2.0,Automotive Embedded and Multimedia Systems-Tutorial-Mr. Jagadeesh K / Dr. Sibasankar Padhy-DSAI-6.0 | Automotive Embedded and Multimedia Systems-Tutorial-Mr. Jagadeesh K / Dr. Sibasankar Padhy-ECE-6.0 | Automotive Embedded and Multimedia Systems-Tutorial-Mr. Jagadeesh K / Dr. Sibasankar Padhy-CSE-6.0,,,,,,,,Linear Algebra-Tutorial-Dr. Anand Barangi-CSE B-4.0,
Friday,Mathematical foundations of Computing-Lecture-Dr. Animesh Roy-CSE B-2.0,Global Business Perspectives-Lecture-Mr. Manmohan Singh ( Course Coordinator: Dr. Rajendra Hegadi)-DSAI-4.0 | Global Business Perspectives-Lecture-Mr. Manmohan Singh ( Course Coordinator: Dr. Rajendra Hegadi)-ECE-4.0,,,,,,Operating Systems-Lecture-Dr. Manjunath K V-DSAI-4.0,,,,Industrial Social Psychology-Lecture-Dr. Navyashree-DSAI-4.0
