,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,Innovation and Entrepreneurship-Lecture-Mr. Ram Subramanian ( Course Coordinator: Dr. Manjunath Kv)-DSAI-6.0 | Innovation and Entrepreneurship-Lecture-Mr. Ram Subramanian ( Course Coordinator: Dr. Manjunath Kv)-ECE-6.0,,Software Engineering and Services-Lecture-Dr. Animesh Chaturvedi-DSAI-4.0,,,,Statistics for Health Technology-Tutorial-Dr. Ramesh Athe-DSAI-6.0 | Statistics for Health Technology-Tutorial-Dr. Ramesh Athe-ECE-6.0 | Statistics for Health Technology-Tutorial-Dr. Ramesh Athe-CSE-6.0,,Data Security and Privacy-Lecture-Dr. Abdul Wahid & Dr. Rajendra Hegadi-DSAI-6.0,Control Systems-Lecture-Dr. Pankaj Kumar-ECE-4.0
Tuesday,,,Data Security and Privacy-Lecture-Dr. Abdul Wahid & Dr. Rajendra Hegadi-DSAI-6.0,,Theory of Computation-Tutorial-Dr. Pavan / Dr. Sunil C K-CSE B-4.0,,,Financial Data Analytics-Lecture-Dr. Utkarsh Khaire-DSAI-6.0 | Financial Data Analytics-Lecture-Dr. Utkarsh Khaire-ECE-6.0,Database Management Systems-Lecture-Dr. Pramod Yelmewad / Dr. Abdul Wahid-CSE A-4.0,,,Introduction to Digital VLSI Design-Lecture-Dr. Prakash Pawar-DSAI-2.0 | Introduction to Digital VLSI Design-Lecture-Dr. Prakash Pawar-ECE-2.0 | Introduction to Digital VLSI Design-Lecture-Dr. Prakash Pawar-CSE-2.0
Wednesday,Introduction to Digital VLSI Design-Lecture-Dr. Prakash Pawar-DSAI-2.0 | Introduction to Digital VLSI Design-Lecture-Dr. Prakash Pawar-ECE-2.0 | Introduction to Digital VLSI Design-Lecture-Dr. Prakash Pawar-CSE-2.0,,,,Innovation and Entrepreneurship-Lecture-Mr. Ram Subramanian ( Course Coordinator: Dr. Manjunath Kv)-DSAI-6.0 | Innovation and Entrepreneurship-Lecture-Mr. Ram Subramanian ( Course Coordinator: Dr. Manjunath Kv)-ECE-6.0,,,Financial Data Analytics-Lecture-Dr. Utkarsh Khaire-DSAI-6.0 | Financial Data Analytics-Lecture-Dr. Utkarsh Khaire-ECE-6.0,,,,
Thursday,,Software Engineering-Lecture-Dr. Vivekraj V K / Dr. Sunil Kumar P V-ECE-4.0 | Software Engineering-Lecture-Dr. Vivekraj V K / Dr. Sunil Kumar P V-CSE A-4.0,Economics-Tutorial-Dr. Anushree Kini-ECE-4.0,,,,,,,,,
Friday,Theory of Computation-Lecture-Dr. Pavan / Dr. Sunil C K-CSE B-4.0,Linear Algebra-Lecture-Dr. Sibasankar Padhy / Dr. Somen Bhattacharjee-CSE A-2.0,,,,,,Operating System-Lecture-Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha-ECE-4.0 | Operating System-Lecture-Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha-CSE B-4.0,,,,Linear Algebra-Tutorial-Dr. Sibasankar Padhy / Dr. Somen Bhattacharjee-CSE B-2.0
