,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,Innovation and Entrepreneurship-Lecture-C204 | Innovation and Entrepreneurship-Lecture-C204,,Large Languange Models-Lecture-C002 | Large Languange Models-Lecture-C002 | Large Languange Models-Lecture-C002 | Deep Speech Processing-Lecture-C003 | Deep Speech Processing-Lecture-C003 | Deep Speech Processing-Lecture-C003 | Natural Language Processing-Lecture-C004 | Natural Language Processing-Lecture-C004 | Natural Language Processing-Lecture-C004 | Deep Computer Vision-Lecture-C101 | Deep Computer Vision-Lecture-C101 | Deep Computer Vision-Lecture-C101,,,Cloud Computing-Lecture-C101,Computer Graphics-Tutorial-C202 | Computer Graphics-Tutorial-C202 | Computer Graphics-Tutorial-C202 | Virtualization and Cloud Computing-Tutorial-C203 | Virtualization and Cloud Computing-Tutorial-C203 | Virtualization and Cloud Computing-Tutorial-C203 | Statistics for Health Technology-Tutorial-C204 | Statistics for Health Technology-Tutorial-C204 | Statistics for Health Technology-Tutorial-C204 | Automotive Embedded and Multimedia Systems-Tutorial-C206 | Automotive Embedded and Multimedia Systems-Tutorial-C206 | Automotive Embedded and Multimedia Systems-Tutorial-C206 | Bioinformatics-Tutorial-C302 | Bioinformatics-Tutorial-C302 | Bioinformatics-Tutorial-C302,,Data Security and Privacy-Lecture-C204 | Wireless Communication-Lecture-C206,Large Languange Models-Tutorial-C002 | Large Languange Models-Tutorial-C002 | Large Languange Models-Tutorial-C002 | Deep Speech Processing-Tutorial-C003 | Deep Speech Processing-Tutorial-C003 | Deep Speech Processing-Tutorial-C003 | Natural Language Processing-Tutorial-C004 | Natural Language Processing-Tutorial-C004 | Natural Language Processing-Tutorial-C004 | Deep Computer Vision-Tutorial-C101 | Deep Computer Vision-Tutorial-C101 | Deep Computer Vision-Tutorial-C101
Tuesday,Data Analytics and Visualization-Lecture-C002 | Data Analytics and Visualization-Lecture-C002 | Data Analytics and Visualization-Lecture-C002 | Medical Image Analysis-Lecture-C003 | Medical Image Analysis-Lecture-C003 | Medical Image Analysis-Lecture-C003 | Machine learning-Lecture-C004 | Machine learning-Lecture-C004 | Machine learning-Lecture-C004 | Computer Graphics-Lecture-C101 | Computer Graphics-Lecture-C101 | Computer Graphics-Lecture-C101 | Virtualization and Cloud Computing-Lecture-C102 | Virtualization and Cloud Computing-Lecture-C102 | Virtualization and Cloud Computing-Lecture-C102 | Statistics for Health Technology-Lecture-C104 | Statistics for Health Technology-Lecture-C104 | Statistics for Health Technology-Lecture-C104 | Automotive Embedded and Multimedia Systems-Lecture-C202 | Automotive Embedded and Multimedia Systems-Lecture-C202 | Automotive Embedded and Multimedia Systems-Lecture-C202 | Bioinformatics-Lecture-C203 | Bioinformatics-Lecture-C203 | Bioinformatics-Lecture-C203,,Data Security and Privacy-Lecture-C204 | Wireless Communication-Lecture-C206,,Innovation and Entrepreneurship-Tutorial-C302 | Innovation and Entrepreneurship-Tutorial-C302,,,Financial Data Analytics-Lecture-C204 | Financial Data Analytics-Lecture-C204,Data Analytics and Visualization-Lecture-C002 | Data Analytics and Visualization-Lecture-C002 | Data Analytics and Visualization-Lecture-C002 | Medical Image Analysis-Lecture-C003 | Medical Image Analysis-Lecture-C003 | Medical Image Analysis-Lecture-C003 | Machine learning-Lecture-C004 | Machine learning-Lecture-C004 | Machine learning-Lecture-C004 | Computer Graphics-Lecture-C101 | Computer Graphics-Lecture-C101 | Computer Graphics-Lecture-C101 | Virtualization and Cloud Computing-Lecture-C102 | Virtualization and Cloud Computing-Lecture-C102 | Virtualization and Cloud Computing-Lecture-C102 | Statistics for Health Technology-Lecture-C104 | Statistics for Health Technology-Lecture-C104 | Statistics for Health Technology-Lecture-C104 | Automotive Embedded and Multimedia Systems-Lecture-C202 | Automotive Embedded and Multimedia Systems-Lecture-C202 | Automotive Embedded and Multimedia Systems-Lecture-C202 | Bioinformatics-Lecture-C203 | Bioinformatics-Lecture-C203 | Bioinformatics-Lecture-C203,,,Design Thinking and Innovation-Tutorial-C002 | Design Thinking and Innovation-Tutorial-C002 | Design Thinking and Innovation-Tutorial-C002 | Quantum Communication-Tutorial-C003 | Quantum Communication-Tutorial-C003 | Quantum Communication-Tutorial-C003 | Quantum HPC and AI-Tutorial-C004 | Quantum HPC and AI-Tutorial-C004 | Quantum HPC and AI-Tutorial-C004 | Introduction to 5G Network-Tutorial-C101 | Introduction to 5G Network-Tutorial-C101 | Introduction to 5G Network-Tutorial-C101 | Blockchain Technology-Tutorial-C102 | Blockchain Technology-Tutorial-C102 | Blockchain Technology-Tutorial-C102 | Model Checking-Tutorial-C104 | Model Checking-Tutorial-C104 | Model Checking-Tutorial-C104
Wednesday,Design Thinking and Innovation-Lecture-C002 | Design Thinking and Innovation-Lecture-C002 | Design Thinking and Innovation-Lecture-C002 | Quantum Communication-Lecture-C003 | Quantum Communication-Lecture-C003 | Quantum Communication-Lecture-C003 | Quantum HPC and AI-Lecture-C004 | Quantum HPC and AI-Lecture-C004 | Quantum HPC and AI-Lecture-C004 | Introduction to 5G Network-Lecture-C101 | Introduction to 5G Network-Lecture-C101 | Introduction to 5G Network-Lecture-C101 | Blockchain Technology-Lecture-C102 | Blockchain Technology-Lecture-C102 | Blockchain Technology-Lecture-C102 | Model Checking-Lecture-C104 | Model Checking-Lecture-C104 | Model Checking-Lecture-C104,Cloud Computing-Lecture-C101,,,Innovation and Entrepreneurship-Lecture-C204 | Innovation and Entrepreneurship-Lecture-C204,,,Financial Data Analytics-Lecture-C204 | Financial Data Analytics-Lecture-C204,,,Data Security and Privacy-Tutorial-C102,
Thursday,,Design Thinking and Innovation-Lecture-C002 | Design Thinking and Innovation-Lecture-C002 | Design Thinking and Innovation-Lecture-C002 | Quantum Communication-Lecture-C003 | Quantum Communication-Lecture-C003 | Quantum Communication-Lecture-C003 | Quantum HPC and AI-Lecture-C004 | Quantum HPC and AI-Lecture-C004 | Quantum HPC and AI-Lecture-C004 | Introduction to 5G Network-Lecture-C101 | Introduction to 5G Network-Lecture-C101 | Introduction to 5G Network-Lecture-C101 | Blockchain Technology-Lecture-C102 | Blockchain Technology-Lecture-C102 | Blockchain Technology-Lecture-C102 | Model Checking-Lecture-C104 | Model Checking-Lecture-C104 | Model Checking-Lecture-C104,Data Analytics and Visualization-Tutorial-C002 | Data Analytics and Visualization-Tutorial-C002 | Data Analytics and Visualization-Tutorial-C002 | Medical Image Analysis-Tutorial-C003 | Medical Image Analysis-Tutorial-C003 | Medical Image Analysis-Tutorial-C003 | Machine learning-Tutorial-C004 | Machine learning-Tutorial-C004 | Machine learning-Tutorial-C004 | Computer Graphics-Tutorial-C101 | Computer Graphics-Tutorial-C101 | Computer Graphics-Tutorial-C101 | Virtualization and Cloud Computing-Tutorial-C102 | Virtualization and Cloud Computing-Tutorial-C102 | Virtualization and Cloud Computing-Tutorial-C102 | Statistics for Health Technology-Tutorial-C104 | Statistics for Health Technology-Tutorial-C104 | Statistics for Health Technology-Tutorial-C104 | Automotive Embedded and Multimedia Systems-Tutorial-C202 | Automotive Embedded and Multimedia Systems-Tutorial-C202 | Automotive Embedded and Multimedia Systems-Tutorial-C202 | Bioinformatics-Tutorial-C203 | Bioinformatics-Tutorial-C203 | Bioinformatics-Tutorial-C203,,,,,,,,Cloud Computing-Lecture-C101,
Friday,Innovation and Entrepreneurship-Lecture-C302 | Innovation and Entrepreneurship-Lecture-C302,Large Languange Models-Lecture-C002 | Large Languange Models-Lecture-C002 | Large Languange Models-Lecture-C002 | Deep Speech Processing-Lecture-C003 | Deep Speech Processing-Lecture-C003 | Deep Speech Processing-Lecture-C003 | Natural Language Processing-Lecture-C004 | Natural Language Processing-Lecture-C004 | Natural Language Processing-Lecture-C004 | Deep Computer Vision-Lecture-C101 | Deep Computer Vision-Lecture-C101 | Deep Computer Vision-Lecture-C101,,,,,,Financial Data Analytics-Lecture-C206 | Financial Data Analytics-Lecture-C206,,,,Data Security and Privacy-Lecture-C101 | Wireless Communication-Lecture-C104
