Day,Time,Room,Course Code,Course Title,Faculty,Session Type,Branch,Semester,Info
Tuesday,15:30-16:30,C304,EC162,Network Analysis,Dr. Sibasankar Padhy,Lecture,ECE,2.0,
Tuesday,18:00-19:00,C202,HS155,Industry Insights Program Part 1,Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan,Lecture,DSAI,2.0,
Tuesday,18:00-19:00,C202,HS155,Industry Insights Program Part 1,Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan,Lecture,ECE,2.0,
Tuesday,18:00-19:00,C202,HS155,Industry Insights Program Part 1,Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan,Lecture,CSE,2.0,
Tuesday,18:00-19:00,C203,DS151,Linux for Engineers,Dr. Shirshendu Layek,Lecture,DSAI,2.0,
Tuesday,18:00-19:00,C203,DS151,Linux for Engineers,Dr. Shirshendu Layek,Lecture,ECE,2.0,
Tuesday,18:00-19:00,C203,DS151,Linux for Engineers,Dr. Shirshendu Layek,Lecture,CSE,2.0,
Tuesday,18:00-19:00,C204,EC154,Introduction to Digital VLSI Design,Dr. Prakash Pawar,Lecture,DSAI,2.0,
Tuesday,18:00-19:00,C204,EC154,Introduction to Digital VLSI Design,Dr. Prakash Pawar,Lecture,ECE,2.0,
Tuesday,18:00-19:00,C204,EC154,Introduction to Digital VLSI Design,Dr. Prakash Pawar,Lecture,CSE,2.0,
Tuesday,18:00-19:00,C206,HS156,Introduction to Holistic Personality Development,Prof. Chachadi / Dr. Chandrika K,Lecture,DSAI,2.0,
Tuesday,18:00-19:00,C206,HS156,Introduction to Holistic Personality Development,Prof. Chachadi / Dr. Chandrika K,Lecture,ECE,2.0,
Tuesday,18:00-19:00,C206,HS156,Introduction to Holistic Personality Development,Prof. Chachadi / Dr. Chandrika K,Lecture,CSE,2.0,
Tuesday,18:00-19:00,C302,CS152,Data Science with Python,Dr. Abdul Wahid,Lecture,DSAI,2.0,
Tuesday,18:00-19:00,C302,CS152,Data Science with Python,Dr. Abdul Wahid,Lecture,ECE,2.0,
Tuesday,18:00-19:00,C302,CS152,Data Science with Python,Dr. Abdul Wahid,Lecture,CSE,2.0,
Wednesday,08:00-09:00,C202,HS155,Industry Insights Program Part 1,Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan,Lecture,DSAI,2.0,
Wednesday,08:00-09:00,C202,HS155,Industry Insights Program Part 1,Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan,Lecture,ECE,2.0,
Wednesday,08:00-09:00,C202,HS155,Industry Insights Program Part 1,Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan,Lecture,CSE,2.0,
Wednesday,08:00-09:00,C203,DS151,Linux for Engineers,Dr. Shirshendu Layek,Lecture,DSAI,2.0,
Wednesday,08:00-09:00,C203,DS151,Linux for Engineers,Dr. Shirshendu Layek,Lecture,ECE,2.0,
Wednesday,08:00-09:00,C203,DS151,Linux for Engineers,Dr. Shirshendu Layek,Lecture,CSE,2.0,
