,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,Optimization-Lecture-C004 | Optimization-Lecture-C004 | Mathematical foundations of Computing-Lecture-C101 | Mathematical foundations of Computing-Lecture-C102,,Data Structures and Algorithms-Lecture-C102 | Computer Architecture-Lecture-C104 | Economics/ Innovation and Entrepreneurship-Lecture-C206 | Economics/ Innovation and Entrepreneurship-Lecture-C302,,,English Language and Communication-Lecture-C004 | English Language and Communication-Lecture-C004,Photography101-Lecture-C002 | Photography101-Lecture-C002 | Photography101-Lecture-C002 | Industry Insights Program Part 1-Lecture-C003 | Industry Insights Program Part 1-Lecture-C003 | Industry Insights Program Part 1-Lecture-C003 | Linux for Engineers-Lecture-C004 | Linux for Engineers-Lecture-C004 | Linux for Engineers-Lecture-C004 | Introduction to Digital VLSI Design-Lecture-C101 | Introduction to Digital VLSI Design-Lecture-C101 | Introduction to Digital VLSI Design-Lecture-C101 | Introduction to Holistic Personality Development-Lecture-C102 | Introduction to Holistic Personality Development-Lecture-C102 | Introduction to Holistic Personality Development-Lecture-C102 | Data Science with Python-Lecture-C104 | Data Science with Python-Lecture-C104 | Data Science with Python-Lecture-C104,,Data Structures and Algorithms-Lecture-C101 | Computer Architecture-Lecture-C102 | Economics/ Innovation and Entrepreneurship-Tutorial-C302 | Economics/ Innovation and Entrepreneurship-Tutorial-C303,Data Curation Techniques-Lecture-C202 | Network Analysis-Lecture-C203 | Linear Algebra-Lecture-C302 | Linear Algebra-Lecture-C303
Tuesday,,,Computer Architecture-Lecture-C101 | Computer Architecture-Lecture-C102 | Economics/ Innovation and Entrepreneurship-Lecture-C302 | Economics/ Innovation and Entrepreneurship-Lecture-C303,,Data Structures and Algorithms-Lecture-C101 | Data Structures and Algorithms-Lecture-C102 | Mathematical foundations of Computing-Lecture-C104 | Mathematical foundations of Computing-Lecture-C202,,,Optimization-Lecture-C004 | Optimization-Lecture-C004 | Data Structures & Algorithms-Lecture-C101 | Data Structures & Algorithms-Lecture-C102,Data Curation Techniques-Lecture-C302 | Network Analysis-Lecture-C304,,,Industry Insights Program Part 1-Lecture-C202 | Industry Insights Program Part 1-Lecture-C202 | Industry Insights Program Part 1-Lecture-C202 | Linux for Engineers-Lecture-C203 | Linux for Engineers-Lecture-C203 | Linux for Engineers-Lecture-C203 | Introduction to Digital VLSI Design-Lecture-C204 | Introduction to Digital VLSI Design-Lecture-C204 | Introduction to Digital VLSI Design-Lecture-C204 | Introduction to Holistic Personality Development-Lecture-C206 | Introduction to Holistic Personality Development-Lecture-C206 | Introduction to Holistic Personality Development-Lecture-C206 | Data Science with Python-Lecture-C302 | Data Science with Python-Lecture-C302 | Data Science with Python-Lecture-C302
Wednesday,Industry Insights Program Part 1-Lecture-C202 | Industry Insights Program Part 1-Lecture-C202 | Industry Insights Program Part 1-Lecture-C202 | Linux for Engineers-Lecture-C203 | Linux for Engineers-Lecture-C203 | Linux for Engineers-Lecture-C203 | Introduction to Digital VLSI Design-Lecture-C204 | Introduction to Digital VLSI Design-Lecture-C204 | Introduction to Digital VLSI Design-Lecture-C204 | Introduction to Holistic Personality Development-Lecture-C206 | Introduction to Holistic Personality Development-Lecture-C206 | Introduction to Holistic Personality Development-Lecture-C206 | Data Science with Python-Lecture-C302 | Data Science with Python-Lecture-C302 | Data Science with Python-Lecture-C302,,,,Optimization-Tutorial-C004 | Optimization-Tutorial-C004 | Data Structures & Algorithms-Lecture-C101 | Data Structures & Algorithms-Lecture-C102,,,Optimization-Lecture-C004 | Optimization-Lecture-C004 | Data Structures & Algorithms-Lecture-C101 | Data Structures & Algorithms-Lecture-C102,,,English Language and Communication-Lecture-C004 | English Language and Communication-Lecture-C004,
Thursday,,Computer Architecture-Lecture-C202 | Computer Architecture-Lecture-C203 | Linear Algebra-Lecture-C303 | Linear Algebra-Lecture-C304,,,,,,,,,,Photography101-Lecture-C002 | Photography101-Lecture-C002 | Photography101-Lecture-C002 | Industry Insights Program Part 1-Lecture-C003 | Industry Insights Program Part 1-Lecture-C003 | Industry Insights Program Part 1-Lecture-C003 | Linux for Engineers-Lecture-C004 | Linux for Engineers-Lecture-C004 | Linux for Engineers-Lecture-C004 | Introduction to Digital VLSI Design-Lecture-C101 | Introduction to Digital VLSI Design-Lecture-C101 | Introduction to Digital VLSI Design-Lecture-C101 | Introduction to Holistic Personality Development-Lecture-C102 | Introduction to Holistic Personality Development-Lecture-C102 | Introduction to Holistic Personality Development-Lecture-C102 | Data Science with Python-Lecture-C104 | Data Science with Python-Lecture-C104 | Data Science with Python-Lecture-C104
Friday,Data Structures and Algorithms-Lecture-C101 | Data Structures and Algorithms-Lecture-C102 | Mathematical foundations of Computing-Lecture-C104 | Mathematical foundations of Computing-Lecture-C202,Network Analysis-Tutorial-C203 | Linear Algebra-Lecture-C204 | Linear Algebra-Lecture-C206,,,,,,Photography101-Tutorial-C002 | Photography101-Tutorial-C002 | Photography101-Tutorial-C002 | Industry Insights Program Part 1-Tutorial-C003 | Industry Insights Program Part 1-Tutorial-C003 | Industry Insights Program Part 1-Tutorial-C003 | Linux for Engineers-Tutorial-C004 | Linux for Engineers-Tutorial-C004 | Linux for Engineers-Tutorial-C004 | Introduction to Digital VLSI Design-Tutorial-C101 | Introduction to Digital VLSI Design-Tutorial-C101 | Introduction to Digital VLSI Design-Tutorial-C101 | Introduction to Holistic Personality Development-Tutorial-C102 | Introduction to Holistic Personality Development-Tutorial-C102 | Introduction to Holistic Personality Development-Tutorial-C102 | Data Science with Python-Tutorial-C104 | Data Science with Python-Tutorial-C104 | Data Science with Python-Tutorial-C104,,,,English Language and Communication-Lecture-C004 | English Language and Communication-Lecture-C004 | Linear Algebra-Tutorial-C203 | Linear Algebra-Tutorial-C204
