Day,Time,Room,Course Code,Course Title,Faculty,Session Type,Branch,Semester,Info
Tuesday,15:30-16:30,C003,DS356,Medical Image Analysis,Dr. Girish G N,Lecture,DSAI,6.0,
Tuesday,15:30-16:30,C004,CS307,Machine learning,Dr. Deepak K T / Dr. Girish G N / Dr. Krishnendu Ghosh,Lecture,DSAI,6.0,
Tuesday,15:30-16:30,C101,CS462,Computer Graphics,Dr. Vivekraj V K,Lecture,DSAI,6.0,
Tuesday,15:30-16:30,C102,CS469,Virtualization and Cloud Computing,Dr. Malay,Lecture,DSAI,6.0,
Tuesday,15:30-16:30,C104,DS351,Statistics for Health Technology,Dr. Ramesh Athe,Lecture,DSAI,6.0,
Tuesday,15:30-16:30,C202,EC362,Automotive Embedded and Multimedia Systems,Mr. Jagadeesh K / Dr. Sibasankar Padhy,Lecture,DSAI,6.0,
Tuesday,15:30-16:30,C203,CS472,Bioinformatics,Dr. Sunil Kumar Pv,Lecture,DSAI,6.0,
Tuesday,15:30-16:30,C302,DS164,Data Curation Techniques,Dr. Siddharth R,Lecture,DSAI,2.0,
Tuesday,15:30-16:30,C303,DS204,Software Engineering and Services,Dr. Animesh Chaturvedi,Lecture,DSAI,4.0,
Tuesday,18:00-19:00,C002,ASD351,Design Thinking and Innovation,Dr. Jagadeesha R Bhat,Tutorial,DSAI,6.0,
Tuesday,18:00-19:00,C003,PH352,Quantum Communication,Dr. Aswath B,Tutorial,DSAI,6.0,
Tuesday,18:00-19:00,C004,PH353,Quantum HPC and AI,Dr. Manish M (Dr. Aswath),Tutorial,DSAI,6.0,
Tuesday,18:00-19:00,C101,EC361,Introduction to 5G Network,Dr. Jagadeesha R Bhat,Tutorial,DSAI,6.0,
Tuesday,18:00-19:00,C102,CS455,Blockchain Technology,Dr. Rajendra H,Tutorial,DSAI,6.0,
Tuesday,18:00-19:00,C104,CS365,Model Checking,Dr. Pavan,Tutorial,DSAI,6.0,
Tuesday,18:00-19:00,C202,HS155,Industry Insights Program Part 1,Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan,Lecture,DSAI,2.0,
Tuesday,18:00-19:00,C203,DS151,Linux for Engineers,Dr. Shirshendu Layek,Lecture,DSAI,2.0,
Tuesday,18:00-19:00,C204,EC154,Introduction to Digital VLSI Design,Dr. Prakash Pawar,Lecture,DSAI,2.0,
Tuesday,18:00-19:00,C206,HS156,Introduction to Holistic Personality Development,Prof. Chachadi / Dr. Chandrika K,Lecture,DSAI,2.0,
Tuesday,18:00-19:00,C302,CS152,Data Science with Python,Dr. Abdul Wahid,Lecture,DSAI,2.0,
Wednesday,08:00-09:00,C002,ASD351,Design Thinking and Innovation,Dr. Jagadeesha R Bhat,Lecture,DSAI,6.0,
Wednesday,08:00-09:00,C003,PH352,Quantum Communication,Dr. Aswath B,Lecture,DSAI,6.0,
Wednesday,08:00-09:00,C004,PH353,Quantum HPC and AI,Dr. Manish M (Dr. Aswath),Lecture,DSAI,6.0,
Wednesday,08:00-09:00,C101,EC361,Introduction to 5G Network,Dr. Jagadeesha R Bhat,Lecture,DSAI,6.0,
Wednesday,08:00-09:00,C102,CS455,Blockchain Technology,Dr. Rajendra H,Lecture,DSAI,6.0,
Wednesday,08:00-09:00,C104,CS365,Model Checking,Dr. Pavan,Lecture,DSAI,6.0,
Wednesday,08:00-09:00,C202,HS155,Industry Insights Program Part 1,Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan,Lecture,DSAI,2.0,
Wednesday,08:00-09:00,C203,DS151,Linux for Engineers,Dr. Shirshendu Layek,Lecture,DSAI,2.0,
Wednesday,08:00-09:00,C204,EC154,Introduction to Digital VLSI Design,Dr. Prakash Pawar,Lecture,DSAI,2.0,
Wednesday,08:00-09:00,C206,HS156,Introduction to Holistic Personality Development,Prof. Chachadi / Dr. Chandrika K,Lecture,DSAI,2.0,
Wednesday,08:00-09:00,C302,CS152,Data Science with Python,Dr. Abdul Wahid,Lecture,DSAI,2.0,
Wednesday,08:00-09:00,C305,HS206,Industrial Social Psychology,Dr. Navyashree,Lecture,DSAI,4.0,
Wednesday,09:00-10:00,C101,DS309,Cloud Computing,Dr. Animesh Chaturvedi,Lecture,DSAI,6.0,
Wednesday,09:00-10:00,C104,MA202,Linear Algebra,Dr. Chinmayanand,Lecture,DSAI,4.0,
Wednesday,11:30-12:30,C004,CS162,Optimization,Dr. Dibyajyoti Guha,Tutorial,DSAI,2.0,
Wednesday,11:30-12:30,C104,CS204,Operating Systems,Dr. Manjunath K V,Tutorial,DSAI,4.0,
Wednesday,11:30-12:30,C204,DS307,Innovation and Entrepreneurship,Mr. Ram Subramanian ( Course Coordinator: Dr. Manjunath Kv),Lecture,DSAI,6.0,
Wednesday,14:30-15:30,C004,CS162,Optimization,Dr. Dibyajyoti Guha,Lecture,DSAI,2.0,
