,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,Ethics-Lecture-C101-4.0 | Ethics-Lecture-C102-4.0,Optimization-Lecture-C004-2.0 | Innovation and Entrepreneurship-Lecture-C204-6.0 | Analog and Digital Communication-Lecture-C206-4.0,,Large Languange Models-Lecture-C002-6.0 | Deep Speech Processing-Lecture-C003-6.0 | Natural Language Processing-Lecture-C004-6.0 | Deep Computer Vision-Lecture-C101-6.0 | Data Structures and Algorithms-Lecture-C102-2.0 | Software Engineering-Lecture-C202-4.0 | Software Engineering-Lecture-C203-4.0,,,English Language and Communication-Lecture-C004-2.0 | Embedded Systems Design-Lecture-C102-4.0,Photography101-Lecture-C002-2.0 | Industry Insights Program Part 1-Lecture-C003-2.0 | Linux for Engineers-Lecture-C004-2.0 | Introduction to Digital VLSI Design-Lecture-C101-2.0 | Introduction to Holistic Personality Development-Lecture-C102-2.0 | Data Science with Python-Lecture-C104-2.0 | Computer Graphics-Tutorial-C202-6.0 | Virtualization and Cloud Computing-Tutorial-C203-6.0 | Statistics for Health Technology-Tutorial-C204-6.0 | Automotive Embedded and Multimedia Systems-Tutorial-C206-6.0 | Bioinformatics-Tutorial-C302-6.0 | Economics-Lecture-C303-4.0,,Computer Architecture-Lecture-C102-2.0 | Global Business Perspectives-Lecture-C203-4.0 | Wireless Communication-Lecture-C206-6.0,Large Languange Models-Tutorial-C002-6.0 | Deep Speech Processing-Tutorial-C003-6.0 | Natural Language Processing-Tutorial-C004-6.0 | Deep Computer Vision-Tutorial-C101-6.0 | Network Analysis-Lecture-C203-2.0 | Control Systems-Lecture-C204-4.0
Tuesday,Data Analytics and Visualization-Lecture-C002-6.0 | Medical Image Analysis-Lecture-C003-6.0 | Machine learning-Lecture-C004-6.0 | Computer Graphics-Lecture-C101-6.0 | Virtualization and Cloud Computing-Lecture-C102-6.0 | Statistics for Health Technology-Lecture-C104-6.0 | Automotive Embedded and Multimedia Systems-Lecture-C202-6.0 | Bioinformatics-Lecture-C203-6.0,,Computer Architecture-Lecture-C101-2.0 | Software Engineering-Lecture-C104-4.0 | Software Engineering-Lecture-C202-4.0 | Wireless Communication-Lecture-C206-6.0,,Data Structures and Algorithms-Lecture-C101-2.0 | Innovation and Entrepreneurship-Tutorial-C302-6.0 | Analog and Digital Communication-Tutorial-C303-4.0,,,Optimization-Lecture-C004-2.0 | Operating System-Lecture-C202-4.0 | Operating System-Lecture-C203-4.0 | Financial Data Analytics-Lecture-C204-6.0,Data Analytics and Visualization-Lecture-C002-6.0 | Medical Image Analysis-Lecture-C003-6.0 | Machine learning-Lecture-C004-6.0 | Computer Graphics-Lecture-C101-6.0 | Virtualization and Cloud Computing-Lecture-C102-6.0 | Statistics for Health Technology-Lecture-C104-6.0 | Automotive Embedded and Multimedia Systems-Lecture-C202-6.0 | Bioinformatics-Lecture-C203-6.0 | Network Analysis-Lecture-C304-2.0 | Control Systems-Lecture-C305-4.0,,,Design Thinking and Innovation-Tutorial-C002-6.0 | Quantum Communication-Tutorial-C003-6.0 | Quantum HPC and AI-Tutorial-C004-6.0 | Introduction to 5G Network-Tutorial-C101-6.0 | Blockchain Technology-Tutorial-C102-6.0 | Model Checking-Tutorial-C104-6.0 | Industry Insights Program Part 1-Lecture-C202-2.0 | Linux for Engineers-Lecture-C203-2.0 | Introduction to Digital VLSI Design-Lecture-C204-2.0 | Introduction to Holistic Personality Development-Lecture-C206-2.0 | Data Science with Python-Lecture-C302-2.0 | Ethics-Lecture-C303-4.0 | Ethics-Lecture-C304-4.0
Wednesday,Design Thinking and Innovation-Lecture-C002-6.0 | Quantum Communication-Lecture-C003-6.0 | Quantum HPC and AI-Lecture-C004-6.0 | Introduction to 5G Network-Lecture-C101-6.0 | Blockchain Technology-Lecture-C102-6.0 | Model Checking-Lecture-C104-6.0 | Industry Insights Program Part 1-Lecture-C202-2.0 | Linux for Engineers-Lecture-C203-2.0 | Introduction to Digital VLSI Design-Lecture-C204-2.0 | Introduction to Holistic Personality Development-Lecture-C206-2.0 | Data Science with Python-Lecture-C302-2.0 | Software Engineering-Tutorial-C303-4.0 | Software Engineering-Tutorial-C304-4.0,Embedded Systems Design-Lecture-C102-4.0,,,Optimization-Tutorial-C004-2.0 | Innovation and Entrepreneurship-Lecture-C204-6.0 | Analog and Digital Communication-Lecture-C206-4.0,,,Optimization-Lecture-C004-2.0 | Operating System-Lecture-C202-4.0 | Operating System-Lecture-C203-4.0 | Financial Data Analytics-Lecture-C204-6.0,,,English Language and Communication-Lecture-C004-2.0 | Global Business Perspectives-Lecture-C101-4.0,
Thursday,Economics-Lecture-C101-4.0,Design Thinking and Innovation-Lecture-C002-6.0 | Quantum Communication-Lecture-C003-6.0 | Quantum HPC and AI-Lecture-C004-6.0 | Introduction to 5G Network-Lecture-C101-6.0 | Blockchain Technology-Lecture-C102-6.0 | Model Checking-Lecture-C104-6.0 | Computer Architecture-Lecture-C202-2.0 | Software Engineering-Lecture-C204-4.0 | Software Engineering-Lecture-C206-4.0,Data Analytics and Visualization-Tutorial-C002-6.0 | Medical Image Analysis-Tutorial-C003-6.0 | Machine learning-Tutorial-C004-6.0 | Computer Graphics-Tutorial-C101-6.0 | Virtualization and Cloud Computing-Tutorial-C102-6.0 | Statistics for Health Technology-Tutorial-C104-6.0 | Automotive Embedded and Multimedia Systems-Tutorial-C202-6.0 | Bioinformatics-Tutorial-C203-6.0 | Economics-Tutorial-C204-4.0,,,,,Ethics-Lecture-C101-4.0 | Ethics-Lecture-C102-4.0,,,Embedded Systems Design-Lecture-C102-4.0,Photography101-Lecture-C002-2.0 | Industry Insights Program Part 1-Lecture-C003-2.0 | Linux for Engineers-Lecture-C004-2.0 | Introduction to Digital VLSI Design-Lecture-C101-2.0 | Introduction to Holistic Personality Development-Lecture-C102-2.0 | Data Science with Python-Lecture-C104-2.0
Friday,Data Structures and Algorithms-Lecture-C101-2.0 | Innovation and Entrepreneurship-Lecture-C302-6.0 | Analog and Digital Communication-Lecture-C303-4.0,Large Languange Models-Lecture-C002-6.0 | Deep Speech Processing-Lecture-C003-6.0 | Natural Language Processing-Lecture-C004-6.0 | Deep Computer Vision-Lecture-C101-6.0 | Global Business Perspectives-Lecture-C202-4.0 | Network Analysis-Tutorial-C203-2.0,,,,,,Photography101-Tutorial-C002-2.0 | Industry Insights Program Part 1-Tutorial-C003-2.0 | Linux for Engineers-Tutorial-C004-2.0 | Introduction to Digital VLSI Design-Tutorial-C101-2.0 | Introduction to Holistic Personality Development-Tutorial-C102-2.0 | Data Science with Python-Tutorial-C104-2.0 | Operating System-Lecture-C203-4.0 | Operating System-Lecture-C204-4.0 | Financial Data Analytics-Lecture-C206-6.0,Embedded Systems Design-Tutorial-C101-4.0,,Economics-Lecture-C101-4.0,English Language and Communication-Lecture-C004-2.0 | Control Systems-Lecture-C102-4.0 | Wireless Communication-Lecture-C104-6.0
