,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,Ethics-Lecture-C102-4.0,Mathematical foundations of Computing-Lecture-C102-2.0 | Theory of Computation-Lecture-C202-4.0,,Software Engineering-Lecture-C203-4.0 | Economics/ Innovation and Entrepreneurship-Lecture-C302-2.0,,,Linear Algebra-Lecture-C202-4.0,,,Database Management Systems-Lecture-C202-4.0 | Economics/ Innovation and Entrepreneurship-Tutorial-C303-2.0,Database Management Systems-Lecture-C104-4.0 | Linear Algebra-Lecture-C303-2.0
Tuesday,,,Software Engineering-Lecture-C202-4.0 | Economics/ Innovation and Entrepreneurship-Lecture-C303-2.0,,Mathematical foundations of Computing-Lecture-C202-2.0 | Theory of Computation-Tutorial-C204-4.0,,,Data Structures & Algorithms-Lecture-C102-2.0 | Operating System-Lecture-C203-4.0,Database Management Systems-Lecture-C206-4.0,,,Ethics-Lecture-C304-4.0
Wednesday,Software Engineering-Tutorial-C304-4.0,,,,Data Structures & Algorithms-Lecture-C102-2.0 | Theory of Computation-Lecture-C203-4.0,,,Data Structures & Algorithms-Lecture-C102-2.0 | Operating System-Lecture-C203-4.0,,,Linear Algebra-Lecture-C202-4.0,
Thursday,,Software Engineering-Lecture-C206-4.0 | Linear Algebra-Lecture-C304-2.0,,,,,,Ethics-Lecture-C102-4.0,,,Linear Algebra-Tutorial-C202-4.0,
Friday,Mathematical foundations of Computing-Lecture-C202-2.0 | Theory of Computation-Lecture-C204-4.0,Database Management Systems-Tutorial-C104-4.0 | Linear Algebra-Lecture-C206-2.0,,,,,,Operating System-Lecture-C204-4.0,,,,Linear Algebra-Tutorial-C204-2.0 | Linear Algebra-Lecture-C302-4.0
