,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,"Ethics-Lecture-C101-ECE-4, CSE A-4 | Ethics-Lecture-C102-ECE-4, CSE B-4",,,,,,,,,,
Tuesday,,,,,,,,,,,,"Ethics-Lecture-C303-ECE-4, CSE A-4 | Ethics-Lecture-C304-ECE-4, CSE B-4"
Wednesday,,,,,,,,,,,,
Thursday,,,,,,,,"Ethics-Lecture-C101-ECE-4, CSE A-4 | Ethics-Lecture-C102-ECE-4, CSE B-4",,,,
Friday,,,,,,,,,,,,
