,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,,,"Deep Computer Vision-Lecture-C101-DSAI-6, ECE-6, CSE-6",,,Linear Algebra-Lecture-C203-DSAI-4,,,,"Deep Computer Vision-Tutorial-C101-DSAI-6, ECE-6, CSE-6"
Tuesday,,,,,,,,,,,,
Wednesday,,Linear Algebra-Lecture-C104-DSAI-4,,,,,,,,,,
Thursday,,,,,,,,,,,Linear Algebra-Lecture-C203-DSAI-4,
Friday,,"Deep Computer Vision-Lecture-C101-DSAI-6, ECE-6, CSE-6",,,,,,,Linear Algebra-Tutorial-C102-DSAI-4,,,
