,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,,,,,,,"Data Science with Python-Lecture-C104-DSAI-2, ECE-2, CSE-2",,Data Security and Privacy-Lecture-C204-DSAI-6 | Database Management Systems-Lecture-C104-CSE A-4 | Database Management Systems-Lecture-C202-CSE B-4,Database Management Systems-Lecture-C102-CSE A-4 | Database Management Systems-Lecture-C104-CSE B-4
Tuesday,,,Data Security and Privacy-Lecture-C204-DSAI-6,,,,,,Database Management Systems-Lecture-C204-CSE A-4 | Database Management Systems-Lecture-C206-CSE B-4,,,"Data Science with Python-Lecture-C302-DSAI-2, ECE-2, CSE-2"
Wednesday,"Data Science with Python-Lecture-C302-DSAI-2, ECE-2, CSE-2",,,,,,,,,,Data Security and Privacy-Tutorial-C102-DSAI-6,
Thursday,,,,,,,,,,,,"Data Science with Python-Lecture-C104-DSAI-2, ECE-2, CSE-2"
Friday,,Database Management Systems-Tutorial-C102-CSE A-4 | Database Management Systems-Tutorial-C104-CSE B-4,,,,,,"Data Science with Python-Tutorial-C104-DSAI-2, ECE-2, CSE-2",,,,Data Security and Privacy-Lecture-C101-DSAI-6
