,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,,,,,,Linear Algebra-Lecture-C104-CSE A-4 | Linear Algebra-Lecture-C202-CSE B-4,,,,
Tuesday,,,,,,,,,,,,
Wednesday,,,,,,,,,,,Linear Algebra-Lecture-C104-CSE A-4 | Linear Algebra-Lecture-C202-CSE B-4,
Thursday,,,,,,,,,,,Linear Algebra-Tutorial-C104-CSE A-4 | Linear Algebra-Tutorial-C202-CSE B-4,
Friday,,,,,,,,,,,,Linear Algebra-Lecture-C206-CSE A-4 | Linear Algebra-Lecture-C302-CSE B-4
