,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,,,,,,,"Automotive Embedded and Multimedia Systems-Tutorial-C206-DSAI-6, ECE-6, CSE-6",,,Linear Algebra-Lecture-C302-CSE A-2 | Linear Algebra-Lecture-C303-CSE B-2 | Network Analysis-Lecture-C203-ECE-2
Tuesday,"Automotive Embedded and Multimedia Systems-Lecture-C202-DSAI-6, ECE-6, CSE-6",,,,,,,,"Automotive Embedded and Multimedia Systems-Lecture-C202-DSAI-6, ECE-6, CSE-6 | Network Analysis-Lecture-C304-ECE-2",,,
Wednesday,,,,,,,,,,,,
Thursday,,Linear Algebra-Lecture-C303-CSE A-2 | Linear Algebra-Lecture-C304-CSE B-2,"Automotive Embedded and Multimedia Systems-Tutorial-C202-DSAI-6, ECE-6, CSE-6",,,,,,,,,
Friday,,Linear Algebra-Lecture-C204-CSE A-2 | Linear Algebra-Lecture-C206-CSE B-2 | Network Analysis-Tutorial-C203-ECE-2,,,,,,,,,,Linear Algebra-Tutorial-C203-CSE A-2 | Linear Algebra-Tutorial-C204-CSE B-2
