,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,,,Economics/ Innovation and Entrepreneurship-Lecture-C206-CSE A-2 | Economics/ Innovation and Entrepreneurship-Lecture-C302-CSE B-2,,,,Economics-Lecture-C303-ECE-4,,Economics/ Innovation and Entrepreneurship-Tutorial-C302-CSE A-2 | Economics/ Innovation and Entrepreneurship-Tutorial-C303-CSE B-2,
Tuesday,,,Economics/ Innovation and Entrepreneurship-Lecture-C302-CSE A-2 | Economics/ Innovation and Entrepreneurship-Lecture-C303-CSE B-2,,,,,,,,,
Wednesday,,,,,,,,,,,,
Thursday,Economics-Lecture-C101-ECE-4,,Economics-Tutorial-C204-ECE-4,,,,,,,,,
Friday,,,,,,,,,,,Economics-Lecture-C101-ECE-4,
