,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,,,"Software Engineering-Lecture-C202-ECE-4, CSE A-4 | Software Engineering-Lecture-C203-ECE-4, CSE B-4",,,,"Computer Graphics-Tutorial-C202-DSAI-6, ECE-6, CSE-6",,,
Tuesday,"Computer Graphics-Lecture-C101-DSAI-6, ECE-6, CSE-6",,"Software Engineering-Lecture-C104-ECE-4, CSE A-4 | Software Engineering-Lecture-C202-ECE-4, CSE B-4",,,,,,"Computer Graphics-Lecture-C101-DSAI-6, ECE-6, CSE-6",,,
Wednesday,"Software Engineering-Tutorial-C303-ECE-4, CSE A-4 | Software Engineering-Tutorial-C304-ECE-4, CSE B-4",,,,,,,,,,,
Thursday,,"Software Engineering-Lecture-C204-ECE-4, CSE A-4 | Software Engineering-Lecture-C206-ECE-4, CSE B-4","Computer Graphics-Tutorial-C101-DSAI-6, ECE-6, CSE-6",,,,,,,,,
Friday,,,,,,,,,,,,
