,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,,,,,,,"Virtualization and Cloud Computing-Tutorial-C203-DSAI-6, ECE-6, CSE-6",,,
Tuesday,"Virtualization and Cloud Computing-Lecture-C102-DSAI-6, ECE-6, CSE-6",,,,,,,"Operating System-Lecture-C202-ECE-4, CSE A-4 | Operating System-Lecture-C203-ECE-4, CSE B-4","Virtualization and Cloud Computing-Lecture-C102-DSAI-6, ECE-6, CSE-6",,,
Wednesday,,,,,,,,"Operating System-Lecture-C202-ECE-4, CSE A-4 | Operating System-Lecture-C203-ECE-4, CSE B-4",,,,
Thursday,,,"Virtualization and Cloud Computing-Tutorial-C102-DSAI-6, ECE-6, CSE-6",,,,,,,,,
Friday,,,,,,,,"Operating System-Lecture-C203-ECE-4, CSE A-4 | Operating System-Lecture-C204-ECE-4, CSE B-4",,,,
