,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,,,,,,,,,,
Tuesday,,,,,,,,"Data Structures & Algorithms-Lecture-C101-CSE A-2 | Data Structures & Algorithms-Lecture-C102-CSE B-2 | Operating System-Lecture-C202-ECE-4, CSE A-4 | Operating System-Lecture-C203-ECE-4, CSE B-4",,,,
Wednesday,,,,,Data Structures & Algorithms-Lecture-C101-CSE A-2 | Data Structures & Algorithms-Lecture-C102-CSE B-2,,,"Data Structures & Algorithms-Lecture-C101-CSE A-2 | Data Structures & Algorithms-Lecture-C102-CSE B-2 | Operating System-Lecture-C202-ECE-4, CSE A-4 | Operating System-Lecture-C203-ECE-4, CSE B-4",,,,
Thursday,,,,,,,,,,,,
Friday,,,,,,,,"Operating System-Lecture-C203-ECE-4, CSE A-4 | Operating System-Lecture-C204-ECE-4, CSE B-4",,,,
