,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,Analog and Digital Communication-Lecture-C206-ECE-4,,,,,,,,,Linear Algebra-Lecture-C302-CSE A-2 | Linear Algebra-Lecture-C303-CSE B-2
Tuesday,,,,,Analog and Digital Communication-Tutorial-C303-ECE-4,,,,,,,
Wednesday,,,,,Analog and Digital Communication-Lecture-C206-ECE-4,,,,,,,
Thursday,,Linear Algebra-Lecture-C303-CSE A-2 | Linear Algebra-Lecture-C304-CSE B-2,,,,,,,,,,
Friday,Analog and Digital Communication-Lecture-C303-ECE-4,Linear Algebra-Lecture-C204-CSE A-2 | Linear Algebra-Lecture-C206-CSE B-2,,,,,,,,,,Linear Algebra-Tutorial-C203-CSE A-2 | Linear Algebra-Tutorial-C204-CSE B-2
