,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,,,"Large Languange Models-Lecture-C002-DSAI-6, ECE-6, CSE-6",,,,,,Data Structures and Algorithms-Lecture-C101-DSAI-2,"Large Languange Models-Tutorial-C002-DSAI-6, ECE-6, CSE-6"
Tuesday,,,,,Data Structures and Algorithms-Lecture-C102-DSAI-2,,,,,,,
Wednesday,,,,,,,,,,,,
Thursday,,,,,,,,,,,,
Friday,Data Structures and Algorithms-Lecture-C102-DSAI-2,"Large Languange Models-Lecture-C002-DSAI-6, ECE-6, CSE-6",,,,,,,,,,
