,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,,,,,,Embedded Systems Design-Lecture-C102-ECE-4,"Introduction to Digital VLSI Design-Lecture-C101-DSAI-2, ECE-2, CSE-2",,,
Tuesday,,,,,,,,,,,,"Introduction to Digital VLSI Design-Lecture-C204-DSAI-2, ECE-2, CSE-2"
Wednesday,"Introduction to Digital VLSI Design-Lecture-C204-DSAI-2, ECE-2, CSE-2",Embedded Systems Design-Lecture-C102-ECE-4,,,,,,,,,,
Thursday,,,,,,,,,,,Embedded Systems Design-Lecture-C102-ECE-4,"Introduction to Digital VLSI Design-Lecture-C101-DSAI-2, ECE-2, CSE-2"
Friday,,,,,,,,"Introduction to Digital VLSI Design-Tutorial-C101-DSAI-2, ECE-2, CSE-2",Embedded Systems Design-Tutorial-C101-ECE-4,,,
