,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,,,Data Structures and Algorithms-Lecture-C102-ECE-2,,,,"Photography101-Lecture-C002-DSAI-2, ECE-2, CSE-2",,,
Tuesday,,,,,Data Structures and Algorithms-Lecture-C101-ECE-2,,,,,,,
Wednesday,,,,,,,,,,,,
Thursday,,,,,,,,,,,,"Photography101-Lecture-C002-DSAI-2, ECE-2, CSE-2"
Friday,Data Structures and Algorithms-Lecture-C101-ECE-2,,,,,,,"Photography101-Tutorial-C002-DSAI-2, ECE-2, CSE-2",,,,
