,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,Theory of Computation-Lecture-C104-CSE A-4 | Theory of Computation-Lecture-C202-CSE B-4,,,,,,,,,
Tuesday,,,,,Theory of Computation-Tutorial-C203-CSE A-4 | Theory of Computation-Tutorial-C204-CSE B-4,,,,,,,"Model Checking-Tutorial-C104-DSAI-6, ECE-6, CSE-6"
Wednesday,"Model Checking-Lecture-C104-DSAI-6, ECE-6, CSE-6",,,,Theory of Computation-Lecture-C202-CSE A-4 | Theory of Computation-Lecture-C203-CSE B-4,,,,,,,
Thursday,,"Model Checking-Lecture-C104-DSAI-6, ECE-6, CSE-6",,,,,,,,,,
Friday,Theory of Computation-Lecture-C203-CSE A-4 | Theory of Computation-Lecture-C204-CSE B-4,,,,,,,,,,,
