,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,,,,,,,,,,
Tuesday,"Machine learning-Lecture-C004-DSAI-6, ECE-6, CSE-6 | Medical Image Analysis-Lecture-C003-DSAI-6, ECE-6, CSE-6",,,,,,,,"Machine learning-Lecture-C004-DSAI-6, ECE-6, CSE-6 | Medical Image Analysis-Lecture-C003-DSAI-6, ECE-6, CSE-6",,,
Wednesday,,,,,,,,,,,,
Thursday,,,"Machine learning-Tutorial-C004-DSAI-6, ECE-6, CSE-6 | Medical Image Analysis-Tutorial-C003-DSAI-6, ECE-6, CSE-6",,,,,,,,,
Friday,,,,,,,,,,,,
