,08:00-09:00,09:00-10:00,10:00-11:00,11:00-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:00,17:00-18:00,18:00-19:00
Monday,,,Database Management System-Lecture-C203-DSAI-4,,,,,,"Linux for Engineers-Lecture-C004-DSAI-2, ECE-2, CSE-2",,,
Tuesday,,,Database Management System-Tutorial-C203-DSAI-4,,Database Management System-Lecture-C206-DSAI-4,,,,,,,"Linux for Engineers-Lecture-C203-DSAI-2, ECE-2, CSE-2"
Wednesday,"Linux for Engineers-Lecture-C203-DSAI-2, ECE-2, CSE-2",,,,,,,,,,,
Thursday,,,,,,,,,,,,"Linux for Engineers-Lecture-C004-DSAI-2, ECE-2, CSE-2"
Friday,Database Management System-Lecture-C206-DSAI-4,,,,,,,"Linux for Engineers-Tutorial-C004-DSAI-2, ECE-2, CSE-2",,,,
